LinkID,MediaID,OwnerType,OwnerID,IsPrimary,Include1,Include2,Include3,Include4,SortOrder,RectLeft,RectTop,RectRight,RectBottom,Comments,UTCModDate
344,36,4,487,0,0,0,0,0,0,0,0,0,0,,45165.7132952778
345,25,4,488,0,0,0,0,0,0,0,0,0,0,,45165.7132952894
346,47,4,489,0,0,0,0,0,0,0,0,0,0,,45165.7132952894
347,36,4,490,0,0,0,0,0,0,0,0,0,0,,45165.7132952894
348,47,4,491,0,0,0,0,0,0,0,0,0,0,,45165.7132952894
349,25,4,492,0,0,0,0,0,0,0,0,0,0,,45165.7132953009
350,25,4,493,0,0,0,0,0,0,0,0,0,0,,45165.7132953009
351,47,4,494,0,0,0,0,0,0,0,0,0,0,,45165.7132953009
352,36,4,495,0,0,0,0,0,0,0,0,0,0,,45165.7132953009
353,25,4,496,0,0,0,0,0,0,0,0,0,0,,45165.7132962847
354,51,4,497,0,0,0,0,0,0,0,0,0,0,,45165.7132962847
355,47,4,498,0,0,0,0,0,0,0,0,0,0,,45165.7132962847
356,47,4,499,0,0,0,0,0,0,0,0,0,0,,45165.7132962847
357,25,4,500,0,0,0,0,0,0,0,0,0,0,,45165.7132962847
358,51,4,501,0,0,0,0,0,0,0,0,0,0,,45165.7132962847
359,25,4,502,0,0,0,0,0,0,0,0,0,0,,45165.7132962847
360,47,4,503,0,0,0,0,0,0,0,0,0,0,,45165.7132962847
361,74,4,504,0,0,0,0,0,0,0,0,0,0,,45165.7132962847
362,74,2,616,0,0,0,0,0,0,0,0,0,0,,45165.7132962847
363,74,0,454,0,0,0,0,0,0,0,0,0,0,,45165.7132962847
364,25,4,505,0,0,0,0,0,0,0,0,0,0,,45165.7132973727
365,47,4,506,0,0,0,0,0,0,0,0,0,0,,45165.7132973727
